UNITID,LEXPTOT
100654,2836104
100663,10490753
100690,0
100706,2487121
100724,2844214
100751,21683658
100760,289328
100812,879321
100830,1992540
100858,15746418
100937,1087871
101028,182882
101073,252989
101116,155422
101143,296343
101161,463490
101189,585369
101240,717953
101286,435173
101295,416313
101301,182561
101365,0
101435,541361
101453,132377
101462,247229
101471,0
101480,2914895
101499,314317
101505,764153
101514,635317
101541,220863
101569,645395
101587,681868
101602,302359
101648,177871
101675,313328
101693,463299
101709,1108941
101736,414471
101879,2718123
101897,410892
101912,846389
101949,339110
101994,0
102030,345736
102049,4635419
102058,0
102067,623258
102076,228189
102094,7013800
102234,736631
102261,0
102270,393162
102298,225368
102313,394287
102368,3325909
102377,1910763
102395,146291
102429,699211
102553,7902480
102580,0
102614,6448900
102632,1453118
102845,339816
103501,0
103945,0
104090,0
104151,29222442
104160,881991
104179,35504599
104188,0
104346,949063
104364,0
104425,688734
104577,606835
104586,1102607
104665,0
104708,1392318
104717,2334300
105145,779602
105154,2436903
105206,131351
105297,779561
105330,6405727
105349,552328
105428,1247943
105525,3493677
105534,0
105589,331305
105659,0
105668,976356
105747,1077849
105792,1375138
105899,143421
106041,136275
106148,1171657
106245,4421763
106263,3583627
106306,277798
106342,473827
106397,15727859
106412,1154925
106449,569392
106458,4751587
106467,1827619
106485,757862
106546,356587
106625,207637
106704,3485380
106713,0
106795,121978
106810,0
106883,301791
106980,362387
106999,164588
107044,1340623
107071,1471186
107080,614880
107123,0
107141,655987
107318,146094
107327,285563
107460,231582
107512,896704
107521,153993
107549,176958
107558,493941
107585,294011
107600,356246
107619,409397
107637,171805
107664,906475
107725,187430
107743,134795
107840,157500
107877,172632
107974,248861
107983,1000578
107992,177253
108092,1080712
108232,970591
108269,0
108667,929193
108807,701859
108852,0
108870,702195
109040,0
109086,0
109208,2028760
109350,1356210
109651,1081248
109785,5143725
109819,1104680
109907,0
110060,0
110097,3152685
110219,0
110246,924595
110307,750
110316,898401
110334,1125312
110361,1501273
110370,1012716
110398,2762775
110404,7084472
110413,1332387
110422,7146000
110468,1766000
110486,4011611
110495,2459965
110510,3529057
110529,4483979
110538,4065888
110547,3038435
110556,7563547
110565,6924373
110574,4568341
110583,9149481
110592,4774851
110608,10055740
110617,5835124
110635,66337320
110644,25467679
110653,26208554
110662,69028137
110671,16409575
110680,32646334
110699,10506441
110705,22390040
110714,11672177
110778,118706
110918,0
111009,0
111081,1249023
111188,521585
111391,2378877
111434,621722
111461,949885
111638,0
111887,2471622
111896,387335
111920,1279730
111939,1400899
111948,5671787
111966,1123275
112075,623417
112084,528041
112172,1281556
112190,4329007
112251,11920249
112385,0
112394,0
112446,0
112525,2879767
112561,371525
112570,0
112686,778174
112826,520304
113096,1161775
113111,652213
113193,1002025
113218,1064882
113236,1220735
113333,1814076
113573,753085
113582,0
113634,1550849
113698,1544823
113856,2063251
113980,1977309
114114,0
114123,138852
114266,1168474
114354,1558279
114433,223704
114549,323267
114585,0
114716,1432363
114734,0
114789,1888461
114813,690451
114840,1982525
114859,2259060
114938,879744
115001,1930926
115083,1232005
115126,2569665
115214,3020475
115296,1606984
115393,1004945
115728,520278
115746,567847
115755,3808343
115773,361088
115861,665917
115931,0
116226,0
116439,909871
116712,880542
116846,356973
117052,969270
117104,259537
117113,153542
117140,3922172
117168,226695
117195,295741
117247,854837
117274,214837
117520,655730
117557,0
117627,1469426
117636,5225465
117645,2407895
117672,381566
117690,848393
117706,1014203
117715,815305
117724,807991
117733,1188702
117751,609003
117788,1999914
117803,0
117867,693757
117894,745499
117928,114831
117946,9981667
118198,117215
118259,0
118277,0
118286,0
118347,904938
118541,377378
118684,502766
118693,512089
118718,1080392
118772,732208
118888,1115154
118912,2466805
118930,1056073
118967,0
118976,2121049
119058,505409
119067,1178375
119137,1409488
119164,2353858
119173,2386058
119216,1110268
119270,187761
119331,694347
119605,4649805
119678,5226138
119775,170743
120184,667869
120254,2531196
